CDLI Historical Quarterly Components,,,,
quarter_end_date,total_return_pct,income_pct,realized_gain_loss_pct,unrealized_gain_loss_pct
"Dec 31, 2025",2.08%,2.43%,-0.13%,-0.22%
"Sep 30, 2025",2.31%,2.61%,-0.18%,-0.12%
"Jun 30, 2025",2.40%,2.64%,-0.21%,-0.03%
"Mar 31, 2025",2.22%,2.69%,-0.18%,-0.29%
"Dec 31, 2024",2.66%,2.76%,-0.14%,0.04%
"Sep 30, 2024",2.45%,2.85%,-0.22%,-0.18%
"Jun 30, 2024",2.84%,2.89%,-0.15%,0.10%
"Mar 31, 2024",3.01%,2.94%,-0.09%,0.16%
"Dec 31, 2023",3.32%,2.92%,-0.18%,0.58%
"Sep 30, 2023",3.19%,2.90%,-0.20%,0.49%
"Jun 30, 2023",2.81%,2.89%,-0.30%,0.22%
"Mar 31, 2023",2.43%,2.78%,-0.28%,-0.07%
"Dec 31, 2022",1.45%,2.57%,-0.11%,-1.01%
"Sep 30, 2022",0.89%,2.14%,-0.02%,-1.23%
"Jun 30, 2022",0.53%,1.99%,0.02%,-1.48%
"Mar 31, 2022",1.76%,1.93%,0.02%,-0.19%
"Dec 31, 2021",2.34%,2.12%,0.01%,0.21%
"Sep 30, 2021",3.01%,2.17%,0.12%,0.72%
"Jun 30, 2021",3.52%,2.24%,0.08%,1.20%
"Mar 31, 2021",3.48%,2.27%,0.06%,1.15%
"Dec 31, 2020",3.86%,2.29%,-0.85%,2.42%
"Sep 30, 2020",3.45%,2.31%,-0.92%,2.06%
"Jun 30, 2020",3.81%,2.35%,-1.01%,2.47%
"Mar 31, 2020",-4.85%,2.47%,-0.52%,-6.80%
"Dec 31, 2019",2.15%,2.42%,-0.31%,0.04%
"Sep 30, 2019",2.08%,2.46%,-0.28%,-0.10%
"Jun 30, 2019",2.29%,2.49%,-0.15%,-0.05%
"Mar 31, 2019",2.45%,2.51%,-0.18%,0.12%
